 1106.734  -693.238 
-1223.746  -645.061 
  569.398  -527.648 
-1894.329  -276.648 
 -561.045   -22.819 
 2138.816   498.631 
 1973.084   213.301 
 1687.627 -1193.443 
 1382.66   -638.128 
-1297.305   610.64 
  851.771   203.276 
 1042.359   112.374 
  453.84    254.502 
  166.989  -150.603 
 1167.25   -139.777 
  686.061  -986.731 
 2303.198   912.172 
 1876.456   152.118 
 2235.107   625.167 
 1185.506   430.708 
  387.504   611.53 
  841.172  -763.299 
  569.619  -124.881 
 -936.327   855.758 
   86.599   151.91 
-1598.492   -86.417 
 2197.772   723.111 
 2041.796   352.263 
 -691.238  -556.317 
 1984.954   458.048 
 1712.461  -302.407 
  -70.609   847.482 
 1341.887   199.56 
  148.861  -470.484 
-1897.51    818.785 
 1804.192   296.811 
 2249.679   565.289 
 1620.554  -494.448 
  -30.499   478.319 
 1091.041  -382.342 
  101.728  -971.176 
-1117.255   164.734 
 2062.799   784.345 
 1813.865   -44.904 
-1742.388  1085.86 
 1525.088    25.105 
  777.852   471.81 
 -670.208   346.866

